"","superkingdom","phylum","class","order","family","genus","species"
"species-Fusobacterium_sp._CAG-439","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium sp. CAG:439"
"species-Anaeromassilibacillus_sp._An172","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Anaeromassilibacillus","Anaeromassilibacillus sp. An172"
"species-Aggregatibacter_aphrophilus","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter","Aggregatibacter aphrophilus"
"species-Aerococcus_urinaeequi","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus","Aerococcus urinaeequi"
"species-Pseudomonas_fragi","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas fragi"
"species-Thermoleophilum_album","Bacteria","Actinobacteria","Thermoleophilia","Thermoleophilales","Thermoleophilaceae","Thermoleophilum","Thermoleophilum album"
"species-Bacteroides_sp._CAG-633","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides sp. CAG:633"
"species-Serratia_marcescens","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Serratia marcescens"
"species-Actinotignum_timonense","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinotignum","Actinotignum timonense"
"species-Fusobacterium_naviforme","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium naviforme"
"species-Haemophilus_influenzae","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus influenzae"
"species-Prevotella_intermedia","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella intermedia"
"species-Bacteroidetes_oral_taxon_274","Bacteria","Bacteroidota",NA,NA,NA,NA,"Bacteroidetes oral taxon 274"
"species-Citrobacter_europaeus","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter europaeus"
"species-Bifidobacterium_asteroides","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium asteroides"
"species-Enterococcus_durans","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus durans"
"species-Enterococcus_pseudoavium","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus pseudoavium"
"species-Microvirgula_aerodenitrificans","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Chromobacteriaceae","Microvirgula","Microvirgula aerodenitrificans"
"species-Yersinia_frederiksenii","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Yersinia","Yersinia frederiksenii"
"species-Faecalicatena_orotica","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Faecalicatena","Faecalicatena orotica"
"species-Enterococcus_asini","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus asini"
"species-Paenibacillus_macerans","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus macerans"
"species-Bavariicoccus_seileri","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Bavariicoccus","Bavariicoccus seileri"
"species-Kluyvera_georgiana","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Kluyvera","Kluyvera georgiana"
"species-Prevotella_histicola","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella histicola"
"species-Prevotella_pallens","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella pallens"
"species-Chlamydia_ibidis","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","Chlamydiaceae","Chlamydia","Chlamydia ibidis"
"species-Enterococcus_mundtii","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus mundtii"
"species-Anaerostipes_sp._992a","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerostipes","Anaerostipes sp. 992a"
"species-Actinobaculum_sp._oral_taxon_183","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinobaculum","Actinobaculum sp. oral taxon 183"
"species-Lachnoclostridium_sp._An298","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoclostridium","Lachnoclostridium sp. An298"
"species-Haemophilus_haemolyticus","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus haemolyticus"
"species-Enterococcus_dispar","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus dispar"
"species-Atopobium_minutum","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobium","Atopobium minutum"
